Id:1 Day:34 Len:1
Id:2 Day:1 Len:2
Id:2 Day:3 Len:1
Id:2 Day:19 Len:1
Id:2 Day:21 Len:1
Id:2 Day:28 Len:1
Id:2 Day:30 Len:1
Id:2 Day:37 Len:2
Id:4 Day:2 Len:1
Id:6 Day:23 Len:1
Id:8 Day:1 Len:1
Id:11 Day:2 Len:1
Id:12 Day:1 Len:1
Id:12 Day:6 Len:1
Id:12 Day:11 Len:1
Id:13 Day:10 Len:1
Id:13 Day:34 Len:1
Id:14 Day:43 Len:1
Id:15 Day:1 Len:5
Id:15 Day:2 Len:5
Id:15 Day:3 Len:3
Id:15 Day:4 Len:2
Id:15 Day:9 Len:1
Id:15 Day:10 Len:2
Id:15 Day:13 Len:1
Id:15 Day:15 Len:1
Id:15 Day:16 Len:1
Id:15 Day:19 Len:1
Id:15 Day:23 Len:1
Id:15 Day:25 Len:1
Id:15 Day:26 Len:4
Id:15 Day:28 Len:1
Id:15 Day:29 Len:2
Id:15 Day:30 Len:1
Id:15 Day:33 Len:1
Id:15 Day:35 Len:2
Id:15 Day:36 Len:1
Id:18 Day:82 Len:1
Id:19 Day:1 Len:1
Id:19 Day:2 Len:1
Id:20 Day:12 Len:1
Id:24 Day:2 Len:3
Id:24 Day:20 Len:1
Id:27 Day:1 Len:1
