votefifthharmony 55
votesami 6
5sosfam 25
iphonegames 8
charliehebdo 230
votebangbang 0
kca 1504
hittheroad 192
perduecrew 0
selenagomez 11
votadulcemaria 6
iphone 765
voteukdirectioners 1
sunniiraqciviliansvoice 6
promotion 33
sofantastic 201
laurenfollowspree 137
voteeverywitchway 3
followme 633
sb49 116
onedirection 116
votenickjonas 0
beyhive 3
voteiggyazalea 0
votefancy 0
androidgames 9
iheartawards 56
repjohnlewis 186
votetheflash 2
letter4all 0
theyretheone 5
patriotswin 9
vote5sos 106
votearianagrande 5
votedebbyryan 2
voteonedirection 12
seahawkswin 5
jesuischarlie 239
votejustintimberlake 0
ipadgames 11
votegrantgustin 0
directioners 104
voteluansantana 2
votedarkhorse 6
scorchtrials 0
votedagi 6
fifthharmony 58
votelauramarano 1
vote1du 26
5secondsofsummer 24
voteanitta 1
letter4u 9
votalali 8
mtvmoviebrawl 63
votejkt48id 7
votelittlemixuk 12
followback 804
iraq 152
voteselenagomez 5
voteproblem 0
laliesposito 11
vote1duk 85
voterixtonuk 0
gameinsight 133
marchon 4
votenickiminaj 2
sougofollow 891
lomaspopular 117
android 593
voterosslynch 2
votemainstreet 3
ipad 367
votedanielph 5
bestfanarmy 23
eu 93
