onedirection 126
androidgames 9
votenickiminaj 2
votearianagrande 5
seahawkswin 5
gameinsight 1229
votefifthharmony 55
voteukdirectioners 1
votedarkhorse 6
5secondsofsummer 38
ipadgames 11
votejkt48id 7
beyhive 3
lomaspopular 117
votejustintimberlake 0
votegrantgustin 0
android 622
voteproblem 0
kca 3146
sb49 149
votedebbyryan 2
voteeverywitchway 3
laliesposito 11
votelauramarano 1
fifthharmony 70
ipad 401
perduecrew 0
votemainstreet 3
votalali 8
theyretheone 11
votebangbang 0
votadulcemaria 6
5sosfam 30
voteonedirection 12
vote5sos 108
vote1du 26
iheartawards 56
votelittlemixuk 12
voteselenagomez 5
bestfanarmy 24
promotion 33
voteanitta 1
voteluansantana 2
vote1duk 85
