Id:1 FDay:75 LDay:75 Dur:0
Id:2 FDay:1 LDay:74 Dur:73
Id:3 FDay:74 LDay:74 Dur:0
Id:4 FDay:21 LDay:33 Dur:12
Id:5 FDay:33 LDay:33 Dur:0
Id:6 FDay:32 LDay:32 Dur:0
Id:7 FDay:30 LDay:30 Dur:0
Id:8 FDay:42 LDay:69 Dur:27
Id:9 FDay:8 LDay:67 Dur:59
Id:10 FDay:22 LDay:25 Dur:3
Id:11 FDay:22 LDay:23 Dur:1
Id:12 FDay:9 LDay:17 Dur:8
Id:13 FDay:9 LDay:17 Dur:8
Id:14 FDay:7 LDay:14 Dur:7
Id:15 FDay:2 LDay:90 Dur:88
Id:16 FDay:89 LDay:90 Dur:1
Id:17 FDay:82 LDay:90 Dur:8
Id:18 FDay:65 LDay:90 Dur:25
Id:19 FDay:88 LDay:90 Dur:2
Id:20 FDay:1 LDay:90 Dur:89
Id:21 FDay:1 LDay:90 Dur:89
Id:22 FDay:51 LDay:90 Dur:39
Id:23 FDay:1 LDay:90 Dur:89
Id:24 FDay:1 LDay:90 Dur:89
Id:25 FDay:1 LDay:90 Dur:89
Id:26 FDay:87 LDay:89 Dur:2
Id:27 FDay:1 LDay:89 Dur:88
Id:28 FDay:8 LDay:11 Dur:3
Id:29 FDay:43 LDay:86 Dur:43
Id:30 FDay:72 LDay:85 Dur:13
Id:31 FDay:5 LDay:43 Dur:38
Id:32 FDay:52 LDay:83 Dur:31
Id:33 FDay:81 LDay:81 Dur:0
